academic_year,semester,faculty,programme,previous_gpa,attendance_percentage,study_hours_per_week,failed_modules,assignment_completion_percentage,assessment_average_percentage,lecture_participation_percentage,tutorial_participation,lms_active,internet_access,financial_work_pressure,wellbeing_rating,semester_gpa
4,2,Computing,Information Technology,3.19,87.6,6,0,58.4,86.3,78.8,yes,no,yes,no,3,2.31
1,2,Management,Accounting,3.01,73.0,13,0,82.3,80.4,82.6,yes,yes,yes,yes,4,2.44
3,2,Humanities,Social Sciences,2.11,76.0,9,0,92.0,75.0,60.9,yes,no,yes,no,4,1.96
4,1,Management,Accounting,3.12,84.4,12,0,91.1,89.6,82.9,no,yes,yes,yes,2,3.07
3,1,Management,Business Management,2.28,66.8,16,0,96.0,92.2,71.3,yes,yes,limited,no,2,2.46
2,1,Humanities,Languages,2.46,89.1,12,1,79.3,87.6,76.2,no,yes,yes,no,2,2.2
3,1,Management,Accounting,2.39,82.3,15,0,67.3,66.5,61.4,no,yes,no,no,4,1.8
2,1,Science,Biological Science,2.33,72.0,10,0,59.3,84.5,69.9,no,yes,yes,no,4,1.78
3,2,Computing,Information Technology,2.74,81.9,6,0,84.0,84.5,94.5,no,yes,yes,no,1,1.97
4,2,Computing,Information Technology,3.09,83.2,6,0,100.0,88.7,66.4,yes,yes,yes,yes,4,1.95
4,2,Computing,Computer Science,1.59,71.5,11,1,84.9,94.0,68.1,yes,yes,yes,no,4,2.39
4,1,Management,Business Management,2.91,89.8,7,0,75.0,74.8,90.1,no,no,yes,no,5,2.21
3,2,Computing,Information Technology,2.44,86.5,18,0,97.1,95.0,83.7,yes,no,yes,yes,4,2.5
4,1,Science,Biological Science,2.91,75.7,19,1,91.5,95.0,87.6,yes,yes,yes,no,3,2.72
4,2,Humanities,Social Sciences,2.52,70.3,16,0,94.9,80.2,61.4,no,yes,limited,yes,4,2.95
3,2,Computing,Information Technology,2.74,81.0,6,1,63.8,76.7,58.4,yes,no,limited,no,4,1.64
3,2,Science,Applied Science,2.47,72.4,9,1,100.0,64.5,54.2,yes,yes,yes,no,3,2.78
1,2,Humanities,Languages,2.47,87.6,15,0,71.0,81.8,79.4,yes,yes,yes,no,4,2.55
4,1,Science,Biological Science,2.59,84.0,8,0,95.9,84.9,69.8,yes,no,yes,no,5,2.18
4,2,Engineering,Engineering,2.67,83.8,9,0,77.3,78.8,80.6,yes,yes,yes,yes,3,2.92
4,2,Management,Accounting,1.95,99.8,13,0,80.6,77.2,82.2,yes,yes,yes,no,4,2.37
4,2,Humanities,Social Sciences,2.64,80.6,16,0,100.0,73.1,85.0,no,yes,limited,yes,5,2.64
3,2,Computing,Information Technology,3.11,96.3,9,0,66.3,86.7,76.7,yes,yes,yes,no,4,2.32
4,2,Computing,Information Technology,1.66,99.1,14,1,67.0,93.5,98.5,yes,no,limited,no,3,2.54
2,2,Science,Biological Science,2.81,80.3,11,1,80.0,95.0,66.4,yes,no,yes,no,2,2.07
4,1,Management,Business Management,1.54,84.0,23,1,100.0,95.0,59.8,yes,no,limited,yes,5,2.17
1,1,Management,Business Management,2.83,77.5,12,0,84.7,95.0,75.2,no,yes,limited,no,1,2.85
